zone,date,pred,lat,lon,junction_name,police_station
198_201,2024-04-09,2.5,12.96745763536931,77.57849083800907,BTP082 - KR Market Junction,City Market
198_207,2024-04-09,0.46,12.967652866072383,77.58691283983883,BTP075 - Police Corner,Halasuru Gate
198_208,2024-04-09,2.97,12.96793719270122,77.58856013450111,BTP076 - Hudson Circle,Halasuru Gate
198_211,2024-04-09,0.44,12.967885414634146,77.59242302682927,BTP203 - RRMR Junction,Halasuru Gate
198_212,2024-04-09,0.42,12.96747922631579,77.59401293157896,BTP203 - RRMR Junction,Halasuru Gate
198_216,2024-04-09,0.42,12.967059640425532,77.59946156595744,"BTP099 - Cash Pharmacy, Residency Road",Ashok Nagar
198_223,2024-04-09,0.42,12.967181033333333,77.60883827272728,No Junction,Ashok Nagar
198_247,2024-04-09,0.51,12.966987312820512,77.64158124102565,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar
198_258,2024-04-09,0.74,12.966893052830189,77.65805981698114,No Junction,Jeevanbheemanagar
197_247,2024-04-09,0.46,12.966362583125,77.6416080525,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar
197_246,2024-04-09,0.42,12.966335368,77.641326902,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar
197_206,2024-04-09,0.42,12.965635951595745,77.58540913510637,BTP078 - NR Square Junction,Halasuru Gate
197_205,2024-04-09,0.42,12.965665672839506,77.58429491234568,"BTP080 - NR Road, SP Road Junction",Halasuru Gate
196_202,2024-04-09,1.79,12.96448149311828,77.57995571698925,BTP082 - KR Market Junction,Halasuru Gate
196_203,2024-04-09,0.53,12.964418150214593,77.58122184077253,"BTP080 - NR Road, SP Road Junction",Halasuru Gate
196_204,2024-04-09,0.81,12.964510008522728,77.58266357897728,"BTP080 - NR Road, SP Road Junction",Halasuru Gate
196_205,2024-04-09,7.86,12.96472662192691,77.58403086949059,"BTP080 - NR Road, SP Road Junction",Halasuru Gate
196_301,2024-04-09,0.61,12.964792907272727,77.71706576909091,No Junction,HAL Old Airport
196_302,2024-04-09,2.93,12.964838045346534,77.71816401722772,No Junction,HAL Old Airport
197_169,2024-04-09,1.61,12.966175232618026,77.53485254077253,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara
198_299,2024-04-09,0.56,12.967296142857142,77.71414739714287,No Junction,HAL Old Airport
197_170,2024-04-09,1.2,12.966146068739665,77.53567004133363,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara
